Compost MVP Tests Steps,Status
Verify that mvp_get_started_btn is tapped ,Pass
Verify that fork_1_yes_btn is tapped ,Pass
Verify that fork_2_yes_arrow is tapped ,Pass
Verify that fork_back_arrow_1 is tapped ,Pass
Verify that fork_back_arrow_2 is tapped ,Pass
Verify that fork_1_no_btn is tapped ,Pass
Verify that fork_2_no_arrow is tapped ,Pass
Verify that fork_3_no_arrow is tapped ,Pass
Verify that fork_4_no_open_dropdown is tapped ,Pass
Verify that fork_4_no_closed_dropdown is tapped ,Pass
Verify that fork_4_no_arrow is tapped ,Pass
Verify that compost_action_btn is tapped ,Pass
Verify that complete_compost_action is tapped ,Pass
Verify that mvp_get_started_btn is tapped ,Pass
Verify that fork_1_yes_btn is tapped ,Pass
Verify that fork_2_yes_arrow is tapped ,Pass
Verify that fork_back_arrow_1 is tapped ,Pass
Verify that fork_back_arrow_2 is tapped ,Pass
Verify that fork_1_no_btn is tapped ,Pass
Verify that fork_2_no_arrow is tapped ,Pass
Verify that fork_3_no_arrow is tapped ,Pass
Verify that fork_4_no_open_dropdown is tapped ,Pass
Verify that fork_4_no_closed_dropdown is tapped ,Pass
Verify that fork_4_no_arrow is tapped ,Pass
Verify that compost_action_btn is tapped ,Pass
Verify that complete_compost_action is tapped ,Pass
Verify that mvp_get_started_btn is tapped ,Pass
Verify that fork_1_yes_btn is tapped ,Pass
Verify that fork_2_yes_arrow is tapped ,Pass
Verify that fork_back_arrow_1 is tapped ,Pass
Verify that fork_back_arrow_2 is tapped ,Pass
Verify that fork_1_no_btn is tapped ,Pass
Verify that fork_2_no_arrow is tapped ,Pass
Verify that fork_3_no_arrow is tapped ,Pass
Verify that fork_4_no_open_dropdown is tapped ,Pass
Verify that fork_4_no_closed_dropdown is tapped ,Pass
Verify that fork_4_no_arrow is tapped ,Pass
Verify that compost_action_btn is tapped ,Pass
Verify that complete_compost_action is tapped ,Pass
Verify that mvp_get_started_btn is tapped ,Pass
Verify that fork_1_yes_btn is tapped ,Pass
Verify that fork_2_yes_arrow is tapped ,Pass
Verify that fork_back_arrow_1 is tapped ,Pass
Verify that fork_back_arrow_2 is tapped ,Pass
Verify that fork_1_no_btn is tapped ,Pass
Verify that fork_2_no_arrow is tapped ,Pass
Verify that fork_3_no_arrow is tapped ,Pass
Verify that fork_4_no_open_dropdown is tapped ,Pass
Verify that fork_4_no_closed_dropdown is tapped ,Pass
Verify that fork_4_no_arrow is tapped ,Pass
Verify that compost_action_btn is tapped ,Pass
Verify that complete_compost_action is tapped ,Pass
Verify that mvp_get_started_btn is tapped  ,Fail
Verify that mvp_get_started_btn is tapped ,Pass
Verify that fork_1_yes_btn is tapped ,Pass
Verify that fork_2_yes_arrow is tapped ,Pass
Verify that fork_back_arrow_1 is tapped ,Pass
Verify that fork_back_arrow_2 is tapped ,Pass
Verify that fork_1_no_btn is tapped ,Pass
Verify that fork_2_no_arrow is tapped ,Pass
Verify that fork_3_no_arrow is tapped ,Pass
Verify that fork_4_no_open_dropdown is tapped ,Pass
Verify that fork_4_no_closed_dropdown is tapped ,Pass
Verify that fork_4_no_arrow is tapped ,Pass
Verify that compost_action_btn is tapped ,Pass
Verify that complete_compost_action is tapped ,Pass
Verify that mvp_get_started_btn is tapped ,Pass
Verify that fork_1_yes_btn is tapped ,Pass
Verify that fork_2_yes_arrow is tapped ,Pass
Verify that fork_back_arrow_1 is tapped ,Pass
Verify that fork_back_arrow_2 is tapped ,Pass
Verify that fork_1_no_btn is tapped ,Pass
Verify that fork_2_no_arrow is tapped ,Pass
Verify that fork_3_no_arrow is tapped ,Pass
Verify that fork_4_no_open_dropdown is tapped ,Pass
Verify that fork_4_no_closed_dropdown is tapped ,Pass
Verify that fork_4_no_arrow is tapped ,Pass
Verify that compost_action_btn is tapped ,Pass
Verify that complete_compost_action is tapped ,Pass
Verify that mvp_get_started_btn is tapped ,Pass
Verify that fork_1_yes_btn is tapped ,Pass
Verify that fork_2_yes_arrow is tapped ,Pass
Verify that fork_back_arrow_1 is tapped ,Pass
Verify that fork_back_arrow_2 is tapped ,Pass
Verify that fork_1_no_btn is tapped ,Pass
Verify that fork_2_no_arrow is tapped ,Pass
Verify that fork_3_no_arrow is tapped ,Pass
Verify that fork_4_no_open_dropdown is tapped ,Pass
Verify that fork_4_no_closed_dropdown is tapped ,Pass
Verify that fork_4_no_arrow is tapped ,Pass
Verify that compost_action_btn is tapped ,Pass
Verify that complete_compost_action is tapped ,Pass
Verify that mvp_get_started_btn is tapped  ,Fail
Verify that mvp_get_started_btn is tapped ,Pass
Verify that fork_1_yes_btn is tapped ,Pass
Verify that fork_2_yes_arrow is tapped ,Pass
Verify that fork_back_arrow_1 is tapped ,Pass
Verify that fork_back_arrow_2 is tapped ,Pass
Verify that fork_1_no_btn is tapped ,Pass
Verify that fork_2_no_arrow is tapped ,Pass
Verify that fork_3_no_arrow is tapped ,Pass
Verify that fork_4_no_open_dropdown is tapped ,Pass
Verify that fork_4_no_closed_dropdown is tapped ,Pass
Verify that fork_4_no_arrow is tapped ,Pass
Verify that compost_action_btn is tapped ,Pass
Verify that complete_compost_action is tapped ,Pass
Verify that mvp_get_started_btn is tapped ,Pass
Verify that fork_1_yes_btn is tapped ,Pass
Verify that fork_2_yes_arrow is tapped ,Pass
Verify that fork_back_arrow_1 is tapped ,Pass
Verify that fork_back_arrow_2 is tapped ,Pass
Verify that fork_1_no_btn is tapped ,Pass
Verify that fork_2_no_arrow is tapped ,Pass
Verify that fork_3_no_arrow is tapped ,Pass
Verify that fork_4_no_open_dropdown is tapped ,Pass
Verify that fork_4_no_closed_dropdown is tapped ,Pass
Verify that fork_4_no_arrow is tapped ,Pass
Verify that compost_action_btn is tapped ,Fail
Verify that mvp_get_started_btn is tapped ,Pass
Verify that fork_1_yes_btn is tapped ,Pass
Verify that fork_2_yes_arrow is tapped ,Pass
Verify that fork_back_arrow_1 is tapped ,Pass
Verify that fork_back_arrow_2 is tapped ,Pass
Verify that fork_1_no_btn is tapped ,Pass
Verify that fork_2_no_arrow is tapped ,Pass
Verify that fork_3_no_arrow is tapped ,Pass
Verify that fork_4_no_open_dropdown is tapped ,Pass
Verify that fork_4_no_closed_dropdown is tapped ,Pass
Verify that fork_4_no_arrow is tapped ,Pass
Verify that compost_action_btn is tapped ,Pass
Verify that complete_compost_action is tapped ,Pass
Verify that mvp_get_started_btn is tapped ,Pass
Verify that fork_1_yes_btn is tapped ,Pass
Verify that fork_2_yes_arrow is tapped ,Pass
Verify that fork_back_arrow_1 is tapped ,Pass
Verify that fork_back_arrow_2 is tapped ,Pass
Verify that fork_1_no_btn is tapped ,Pass
Verify that fork_2_no_arrow is tapped ,Pass
Verify that fork_3_no_arrow is tapped ,Pass
Verify that fork_4_no_open_dropdown is tapped ,Pass
Verify that fork_4_no_closed_dropdown is tapped ,Pass
Verify that fork_4_no_arrow is tapped ,Pass
Verify that compost_action_btn is tapped ,Pass
Verify that complete_compost_action is tapped ,Pass
